tick,type,key,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,control,value,channel,note,velocity
0,key_signature,C,0,1,0,,,,,,,,,,,,,,,,
0,smpte_offset,,0,1,0,25,32,0,0,0,0,,,,,,,,,,
0,set_tempo,,0,1,0,,,,,,,500000,,,,,,,,,
0,time_signature,,0,1,0,,,,,,,,4,4,24,8,,,,,
0,end_of_track,,0,1,0,,,,,,,,,,,,,,,,
0,control_change,,0,0,1,,,,,,,,,,,,64,127,0,,
0,control_change,,0,0,1,,,,,,,,,,,,64,0,0,,
0,note_on,,0,0,1,,,,,,,,,,,,,,0,69,31
72,note_on,,72,0,1,,,,,,,,,,,,,,0,69,0
252,note_on,,180,0,1,,,,,,,,,,,,,,0,74,55
276,note_on,,24,0,1,,,,,,,,,,,,,,0,62,25
280,note_on,,4,0,1,,,,,,,,,,,,,,0,65,27
508,note_on,,228,0,1,,,,,,,,,,,,,,0,76,55
562,note_on,,54,0,1,,,,,,,,,,,,,,0,74,0
762,note_on,,200,0,1,,,,,,,,,,,,,,0,77,77
778,note_on,,16,0,1,,,,,,,,,,,,,,0,76,0
1026,note_on,,248,0,1,,,,,,,,,,,,,,0,76,64
1034,note_on,,8,0,1,,,,,,,,,,,,,,0,65,0
1044,note_on,,10,0,1,,,,,,,,,,,,,,0,61,23
1044,note_on,,0,0,1,,,,,,,,,,,,,,0,64,32
1047,note_on,,3,0,1,,,,,,,,,,,,,,0,62,0
1058,note_on,,11,0,1,,,,,,,,,,,,,,0,77,0
1280,note_on,,222,0,1,,,,,,,,,,,,,,0,76,0
1286,note_on,,6,0,1,,,,,,,,,,,,,,0,81,55
1496,note_on,,210,0,1,,,,,,,,,,,,,,0,81,0
1522,note_on,,26,0,1,,,,,,,,,,,,,,0,69,36
1710,control_change,,188,0,1,,,,,,,,,,,,64,127,0,,
1736,note_on,,26,0,1,,,,,,,,,,,,,,0,69,0
1748,note_on,,12,0,1,,,,,,,,,,,,,,0,64,0
1770,note_on,,22,0,1,,,,,,,,,,,,,,0,77,54
1776,note_on,,6,0,1,,,,,,,,,,,,,,0,61,0
1792,note_on,,16,0,1,,,,,,,,,,,,,,0,62,26
1878,control_change,,86,0,1,,,,,,,,,,,,64,0,0,,
1978,note_on,,100,0,1,,,,,,,,,,,,,,0,77,0
1984,note_on,,6,0,1,,,,,,,,,,,,,,0,79,52
2042,note_on,,58,0,1,,,,,,,,,,,,,,0,79,0
2048,note_on,,6,0,1,,,,,,,,,,,,,,0,77,63
2070,note_on,,22,0,1,,,,,,,,,,,,,,0,65,28
2110,note_on,,40,0,1,,,,,,,,,,,,,,0,77,0
2126,control_change,,16,0,1,,,,,,,,,,,,64,127,0,,
2126,note_on,,0,0,1,,,,,,,,,,,,,,0,79,50
2186,note_on,,60,0,1,,,,,,,,,,,,,,0,79,0
2186,note_on,,0,0,1,,,,,,,,,,,,,,0,77,63
2236,note_on,,50,0,1,,,,,,,,,,,,,,0,77,0
2264,note_on,,28,0,1,,,,,,,,,,,,,,0,79,61
2304,note_on,,40,0,1,,,,,,,,,,,,,,0,77,65
2318,note_on,,14,0,1,,,,,,,,,,,,,,0,79,0
2324,note_on,,6,0,1,,,,,,,,,,,,,,0,69,21
2360,note_on,,36,0,1,,,,,,,,,,,,,,0,77,0
2386,note_on,,26,0,1,,,,,,,,,,,,,,0,79,65
2402,control_change,,16,0,1,,,,,,,,,,,,64,0,0,,
2442,note_on,,40,0,1,,,,,,,,,,,,,,0,77,54
2464,note_on,,22,0,1,,,,,,,,,,,,,,0,69,0
2470,note_on,,6,0,1,,,,,,,,,,,,,,0,79,0
2472,note_on,,2,0,1,,,,,,,,,,,,,,0,65,0
2562,note_on,,90,0,1,,,,,,,,,,,,,,0,76,58
2564,note_on,,2,0,1,,,,,,,,,,,,,,0,62,0
2567,note_on,,3,0,1,,,,,,,,,,,,,,0,77,0
2567,note_on,,0,0,1,,,,,,,,,,,,,,0,60,27
2838,note_on,,271,0,1,,,,,,,,,,,,,,0,64,35
2940,control_change,,102,0,1,,,,,,,,,,,,64,127,0,,
3004,note_on,,64,0,1,,,,,,,,,,,,,,0,64,0
3048,note_on,,44,0,1,,,,,,,,,,,,,,0,76,0
3068,note_on,,20,0,1,,,,,,,,,,,,,,0,60,0
3074,note_on,,6,0,1,,,,,,,,,,,,,,0,81,62
3098,note_on,,24,0,1,,,,,,,,,,,,,,0,69,29
3178,note_on,,80,0,1,,,,,,,,,,,,,,0,81,0
3190,note_on,,12,0,1,,,,,,,,,,,,,,0,69,0
3324,note_on,,134,0,1,,,,,,,,,,,,,,0,79,71
3338,note_on,,14,0,1,,,,,,,,,,,,,,0,62,37
3340,note_on,,2,0,1,,,,,,,,,,,,,,0,58,22
3354,control_change,,14,0,1,,,,,,,,,,,,64,0,0,,
3604,note_on,,250,0,1,,,,,,,,,,,,,,0,82,60
3626,note_on,,22,0,1,,,,,,,,,,,,,,0,79,0
3736,note_on,,110,0,1,,,,,,,,,,,,,,0,81,73
3780,note_on,,44,0,1,,,,,,,,,,,,,,0,82,0
3846,control_change,,66,0,1,,,,,,,,,,,,64,127,0,,
3862,note_on,,16,0,1,,,,,,,,,,,,,,0,79,77
3866,note_on,,4,0,1,,,,,,,,,,,,,,0,62,0
3888,note_on,,22,0,1,,,,,,,,,,,,,,0,81,0
3974,note_on,,86,0,1,,,,,,,,,,,,,,0,77,85
3994,note_on,,20,0,1,,,,,,,,,,,,,,0,79,0
4076,control_change,,82,0,1,,,,,,,,,,,,64,0,0,,
4112,note_on,,36,0,1,,,,,,,,,,,,,,0,64,36
4116,note_on,,4,0,1,,,,,,,,,,,,,,0,76,75
4119,note_on,,3,0,1,,,,,,,,,,,,,,0,55,22
4122,note_on,,3,0,1,,,,,,,,,,,,,,0,62,26
4124,note_on,,2,0,1,,,,,,,,,,,,,,0,58,0
4156,note_on,,32,0,1,,,,,,,,,,,,,,0,77,0
4398,note_on,,242,0,1,,,,,,,,,,,,,,0,79,67
4412,note_on,,14,0,1,,,,,,,,,,,,,,0,76,0
4526,note_on,,114,0,1,,,,,,,,,,,,,,0,77,69
4542,note_on,,16,0,1,,,,,,,,,,,,,,0,79,0
4630,control_change,,88,0,1,,,,,,,,,,,,64,127,0,,
4640,note_on,,10,0,1,,,,,,,,,,,,,,0,55,0
4642,note_on,,2,0,1,,,,,,,,,,,,,,0,76,50
4660,note_on,,18,0,1,,,,,,,,,,,,,,0,77,0
4746,note_on,,86,0,1,,,,,,,,,,,,,,0,74,64
4758,note_on,,12,0,1,,,,,,,,,,,,,,0,76,0
4792,note_on,,34,0,1,,,,,,,,,,,,,,0,74,0
4814,control_change,,22,0,1,,,,,,,,,,,,64,0,0,,
4816,note_on,,2,0,1,,,,,,,,,,,,,,0,62,0
4860,note_on,,44,0,1,,,,,,,,,,,,,,0,74,72
4868,note_on,,8,0,1,,,,,,,,,,,,,,0,57,43
4872,note_on,,4,0,1,,,,,,,,,,,,,,0,64,0
5114,note_on,,242,0,1,,,,,,,,,,,,,,0,61,62
5170,note_on,,56,0,1,,,,,,,,,,,,,,0,57,0
5352,note_on,,182,0,1,,,,,,,,,,,,,,0,73,44
5358,note_on,,6,0,1,,,,,,,,,,,,,,0,64,66
5364,note_on,,6,0,1,,,,,,,,,,,,,,0,61,0
5422,note_on,,58,0,1,,,,,,,,,,,,,,0,74,0
5594,note_on,,172,0,1,,,,,,,,,,,,,,0,64,0
5620,note_on,,26,0,1,,,,,,,,,,,,,,0,69,39
5724,note_on,,104,0,1,,,,,,,,,,,,,,0,69,0
5744,note_on,,20,0,1,,,,,,,,,,,,,,0,67,49
5838,note_on,,94,0,1,,,,,,,,,,,,,,0,67,0
5868,note_on,,30,0,1,,,,,,,,,,,,,,0,65,29
5974,note_on,,106,0,1,,,,,,,,,,,,,,0,65,0
5976,note_on,,2,0,1,,,,,,,,,,,,,,0,64,42
6056,note_on,,80,0,1,,,,,,,,,,,,,,0,64,0
6080,note_on,,24,0,1,,,,,,,,,,,,,,0,73,0
6094,note_on,,14,0,1,,,,,,,,,,,,,,0,81,51
6100,note_on,,6,0,1,,,,,,,,,,,,,,0,62,38
6220,note_on,,120,0,1,,,,,,,,,,,,,,0,81,0
6276,note_on,,56,0,1,,,,,,,,,,,,,,0,62,0
6366,note_on,,90,0,1,,,,,,,,,,,,,,0,72,60
6376,note_on,,10,0,1,,,,,,,,,,,,,,0,67,32
6598,note_on,,222,0,1,,,,,,,,,,,,,,0,70,48
6636,note_on,,38,0,1,,,,,,,,,,,,,,0,72,0
6660,note_on,,24,0,1,,,,,,,,,,,,,,0,67,0
6724,note_on,,64,0,1,,,,,,,,,,,,,,0,70,0
6846,note_on,,122,0,1,,,,,,,,,,,,,,0,79,76
6846,note_on,,0,0,1,,,,,,,,,,,,,,0,67,59
6896,note_on,,50,0,1,,,,,,,,,,,,,,0,67,0
6902,note_on,,6,0,1,,,,,,,,,,,,,,0,79,0
7084,note_on,,182,0,1,,,,,,,,,,,,,,0,70,62
7100,note_on,,16,0,1,,,,,,,,,,,,,,0,65,32
7322,note_on,,222,0,1,,,,,,,,,,,,,,0,70,0
7332,note_on,,10,0,1,,,,,,,,,,,,,,0,69,55
7374,note_on,,42,0,1,,,,,,,,,,,,,,0,65,0
7396,note_on,,22,0,1,,,,,,,,,,,,,,0,69,0
7568,note_on,,172,0,1,,,,,,,,,,,,,,0,77,64
7584,note_on,,16,0,1,,,,,,,,,,,,,,0,65,44
7632,note_on,,48,0,1,,,,,,,,,,,,,,0,65,0
7648,note_on,,16,0,1,,,,,,,,,,,,,,0,77,0
7814,note_on,,166,0,1,,,,,,,,,,,,,,0,69,53
7822,note_on,,8,0,1,,,,,,,,,,,,,,0,64,43
8010,control_change,,188,0,1,,,,,,,,,,,,64,127,0,,
8024,note_on,,14,0,1,,,,,,,,,,,,,,0,69,0
8029,note_on,,5,0,1,,,,,,,,,,,,,,0,67,50
8064,note_on,,35,0,1,,,,,,,,,,,,,,0,64,0
8086,control_change,,22,0,1,,,,,,,,,,,,64,0,0,,
8088,note_on,,2,0,1,,,,,,,,,,,,,,0,67,0
8254,note_on,,166,0,1,,,,,,,,,,,,,,0,64,54
8258,note_on,,4,0,1,,,,,,,,,,,,,,0,76,54
8300,note_on,,42,0,1,,,,,,,,,,,,,,0,64,0
8306,note_on,,6,0,1,,,,,,,,,,,,,,0,76,0
8494,note_on,,188,0,1,,,,,,,,,,,,,,0,67,61
8508,note_on,,14,0,1,,,,,,,,,,,,,,0,62,46
8692,note_on,,184,0,1,,,,,,,,,,,,,,0,67,0
8720,note_on,,28,0,1,,,,,,,,,,,,,,0,65,54
8756,note_on,,36,0,1,,,,,,,,,,,,,,0,62,0
8762,control_change,,6,0,1,,,,,,,,,,,,64,127,0,,
8782,note_on,,20,0,1,,,,,,,,,,,,,,0,65,0
8808,control_change,,26,0,1,,,,,,,,,,,,64,0,0,,
8944,note_on,,136,0,1,,,,,,,,,,,,,,0,74,65
8952,note_on,,8,0,1,,,,,,,,,,,,,,0,62,50
8992,note_on,,40,0,1,,,,,,,,,,,,,,0,74,0
9000,note_on,,8,0,1,,,,,,,,,,,,,,0,62,0
9190,note_on,,190,0,1,,,,,,,,,,,,,,0,65,59
9193,note_on,,3,0,1,,,,,,,,,,,,,,0,60,49
9378,note_on,,185,0,1,,,,,,,,,,,,,,0,65,0
9408,control_change,,30,0,1,,,,,,,,,,,,64,127,0,,
9416,note_on,,8,0,1,,,,,,,,,,,,,,0,64,52
9466,note_on,,50,0,1,,,,,,,,,,,,,,0,60,0
9474,note_on,,8,0,1,,,,,,,,,,,,,,0,64,0
9500,control_change,,26,0,1,,,,,,,,,,,,64,0,0,,
9634,note_on,,134,0,1,,,,,,,,,,,,,,0,60,48
9638,note_on,,4,0,1,,,,,,,,,,,,,,0,72,43
9692,note_on,,54,0,1,,,,,,,,,,,,,,0,72,0
9694,note_on,,2,0,1,,,,,,,,,,,,,,0,60,0
9874,note_on,,180,0,1,,,,,,,,,,,,,,0,58,33
9884,note_on,,10,0,1,,,,,,,,,,,,,,0,64,46
9970,note_on,,86,0,1,,,,,,,,,,,,,,0,64,0
10084,control_change,,114,0,1,,,,,,,,,,,,64,127,0,,
10102,note_on,,18,0,1,,,,,,,,,,,,,,0,62,44
10128,note_on,,26,0,1,,,,,,,,,,,,,,0,58,0
10160,note_on,,32,0,1,,,,,,,,,,,,,,0,62,0
10160,control_change,,0,0,1,,,,,,,,,,,,64,0,0,,
10308,note_on,,148,0,1,,,,,,,,,,,,,,0,58,42
10316,note_on,,8,0,1,,,,,,,,,,,,,,0,70,38
10366,note_on,,50,0,1,,,,,,,,,,,,,,0,58,0
10376,note_on,,10,0,1,,,,,,,,,,,,,,0,70,0
10564,note_on,,188,0,1,,,,,,,,,,,,,,0,60,58
10568,note_on,,4,0,1,,,,,,,,,,,,,,0,57,36
10752,note_on,,184,0,1,,,,,,,,,,,,,,0,60,0
10760,note_on,,8,0,1,,,,,,,,,,,,,,0,57,0
10796,note_on,,36,0,1,,,,,,,,,,,,,,0,62,40
10806,note_on,,10,0,1,,,,,,,,,,,,,,0,58,30
10854,note_on,,48,0,1,,,,,,,,,,,,,,0,62,0
10875,note_on,,21,0,1,,,,,,,,,,,,,,0,64,57
10878,note_on,,3,0,1,,,,,,,,,,,,,,0,60,51
10888,note_on,,10,0,1,,,,,,,,,,,,,,0,58,0
10925,note_on,,37,0,1,,,,,,,,,,,,,,0,64,0
10959,note_on,,34,0,1,,,,,,,,,,,,,,0,65,33
10968,note_on,,9,0,1,,,,,,,,,,,,,,0,62,25
10975,note_on,,7,0,1,,,,,,,,,,,,,,0,60,0
11023,note_on,,48,0,1,,,,,,,,,,,,,,0,65,0
11030,note_on,,7,0,1,,,,,,,,,,,,,,0,62,0
11076,note_on,,46,0,1,,,,,,,,,,,,,,0,67,42
11076,note_on,,0,0,1,,,,,,,,,,,,,,0,64,45
11136,note_on,,60,0,1,,,,,,,,,,,,,,0,64,0
11142,note_on,,6,0,1,,,,,,,,,,,,,,0,67,0
11178,note_on,,36,0,1,,,,,,,,,,,,,,0,69,54
11178,note_on,,0,0,1,,,,,,,,,,,,,,0,65,43
11228,note_on,,50,0,1,,,,,,,,,,,,,,0,65,0
11232,note_on,,4,0,1,,,,,,,,,,,,,,0,69,0
11402,note_on,,170,0,1,,,,,,,,,,,,,,0,67,42
11418,note_on,,16,0,1,,,,,,,,,,,,,,0,64,43
11462,note_on,,44,0,1,,,,,,,,,,,,,,0,67,0
11472,note_on,,10,0,1,,,,,,,,,,,,,,0,64,0
11616,note_on,,144,0,1,,,,,,,,,,,,,,0,62,48
11619,note_on,,3,0,1,,,,,,,,,,,,,,0,65,39
11668,note_on,,49,0,1,,,,,,,,,,,,,,0,62,0
11674,note_on,,6,0,1,,,,,,,,,,,,,,0,65,0
11822,note_on,,148,0,1,,,,,,,,,,,,,,0,64,57
11825,note_on,,3,0,1,,,,,,,,,,,,,,0,60,51
11872,note_on,,47,0,1,,,,,,,,,,,,,,0,64,0
11922,note_on,,50,0,1,,,,,,,,,,,,,,0,60,0
11934,note_on,,12,0,1,,,,,,,,,,,,,,0,65,36
11937,note_on,,3,0,1,,,,,,,,,,,,,,0,62,35
11992,note_on,,55,0,1,,,,,,,,,,,,,,0,65,0
12002,note_on,,10,0,1,,,,,,,,,,,,,,0,62,0
12022,note_on,,20,0,1,,,,,,,,,,,,,,0,67,51
12025,note_on,,3,0,1,,,,,,,,,,,,,,0,64,46
12078,note_on,,53,0,1,,,,,,,,,,,,,,0,67,0
12078,note_on,,0,0,1,,,,,,,,,,,,,,0,64,0
12112,note_on,,34,0,1,,,,,,,,,,,,,,0,69,42
12113,note_on,,1,0,1,,,,,,,,,,,,,,0,65,42
12171,note_on,,58,0,1,,,,,,,,,,,,,,0,65,0
12176,note_on,,5,0,1,,,,,,,,,,,,,,0,69,0
12179,note_on,,3,0,1,,,,,,,,,,,,,,0,70,56
12179,note_on,,0,0,1,,,,,,,,,,,,,,0,67,34
12226,note_on,,47,0,1,,,,,,,,,,,,,,0,70,0
12270,note_on,,44,0,1,,,,,,,,,,,,,,0,72,64
12271,note_on,,1,0,1,,,,,,,,,,,,,,0,67,0
12273,note_on,,2,0,1,,,,,,,,,,,,,,0,69,43
12320,note_on,,47,0,1,,,,,,,,,,,,,,0,72,0
12322,note_on,,2,0,1,,,,,,,,,,,,,,0,69,0
12358,note_on,,36,0,1,,,,,,,,,,,,,,0,70,67
12372,note_on,,14,0,1,,,,,,,,,,,,,,0,74,80
12410,note_on,,38,0,1,,,,,,,,,,,,,,0,70,0
12413,note_on,,3,0,1,,,,,,,,,,,,,,0,74,0
12590,note_on,,177,0,1,,,,,,,,,,,,,,0,72,57
12602,note_on,,12,0,1,,,,,,,,,,,,,,0,69,50
12642,note_on,,40,0,1,,,,,,,,,,,,,,0,72,0
12658,note_on,,16,0,1,,,,,,,,,,,,,,0,69,0
12792,note_on,,134,0,1,,,,,,,,,,,,,,0,70,52
12804,note_on,,12,0,1,,,,,,,,,,,,,,0,67,68
12848,note_on,,44,0,1,,,,,,,,,,,,,,0,70,0
12850,note_on,,2,0,1,,,,,,,,,,,,,,0,67,0
13038,note_on,,188,0,1,,,,,,,,,,,,,,0,69,55
13052,note_on,,14,0,1,,,,,,,,,,,,,,0,65,55
13158,control_change,,106,0,1,,,,,,,,,,,,64,127,0,,
13218,note_on,,60,0,1,,,,,,,,,,,,,,0,69,0
13236,note_on,,18,0,1,,,,,,,,,,,,,,0,65,0
13250,note_on,,14,0,1,,,,,,,,,,,,,,0,70,44
13260,note_on,,10,0,1,,,,,,,,,,,,,,0,67,44
13310,note_on,,50,0,1,,,,,,,,,,,,,,0,70,0
13344,note_on,,34,0,1,,,,,,,,,,,,,,0,72,50
13350,note_on,,6,0,1,,,,,,,,,,,,,,0,67,0
13350,note_on,,0,0,1,,,,,,,,,,,,,,0,69,24
13356,control_change,,6,0,1,,,,,,,,,,,,64,0,0,,
13396,note_on,,40,0,1,,,,,,,,,,,,,,0,72,0
13428,note_on,,32,0,1,,,,,,,,,,,,,,0,69,0
13448,note_on,,20,0,1,,,,,,,,,,,,,,0,70,50
13454,note_on,,6,0,1,,,,,,,,,,,,,,0,74,45
13508,note_on,,54,0,1,,,,,,,,,,,,,,0,74,0
13536,note_on,,28,0,1,,,,,,,,,,,,,,0,70,0
13542,note_on,,6,0,1,,,,,,,,,,,,,,0,76,63
13544,note_on,,2,0,1,,,,,,,,,,,,,,0,72,26
13592,note_on,,48,0,1,,,,,,,,,,,,,,0,76,0
13618,note_on,,26,0,1,,,,,,,,,,,,,,0,72,0
13618,note_on,,0,0,1,,,,,,,,,,,,,,0,77,88
13630,note_on,,12,0,1,,,,,,,,,,,,,,0,74,71
13670,note_on,,40,0,1,,,,,,,,,,,,,,0,74,0
13704,note_on,,34,0,1,,,,,,,,,,,,,,0,77,0
13832,note_on,,128,0,1,,,,,,,,,,,,,,0,76,75
13835,note_on,,3,0,1,,,,,,,,,,,,,,0,72,73
13880,note_on,,45,0,1,,,,,,,,,,,,,,0,72,0
13888,note_on,,8,0,1,,,,,,,,,,,,,,0,76,0
14044,note_on,,156,0,1,,,,,,,,,,,,,,0,70,61
14046,note_on,,2,0,1,,,,,,,,,,,,,,0,74,86
14088,note_on,,42,0,1,,,,,,,,,,,,,,0,70,0
14138,note_on,,50,0,1,,,,,,,,,,,,,,0,74,0
14254,note_on,,116,0,1,,,,,,,,,,,,,,0,72,82
14260,note_on,,6,0,1,,,,,,,,,,,,,,0,69,59
14364,note_on,,104,0,1,,,,,,,,,,,,,,0,72,0
14374,note_on,,10,0,1,,,,,,,,,,,,,,0,70,50
14386,note_on,,12,0,1,,,,,,,,,,,,,,0,74,66
14406,note_on,,20,0,1,,,,,,,,,,,,,,0,69,0
14436,note_on,,30,0,1,,,,,,,,,,,,,,0,74,0
14462,note_on,,26,0,1,,,,,,,,,,,,,,0,76,63
14462,control_change,,0,0,1,,,,,,,,,,,,64,127,0,,
14464,note_on,,2,0,1,,,,,,,,,,,,,,0,72,51
14504,note_on,,40,0,1,,,,,,,,,,,,,,0,76,0
14512,note_on,,8,0,1,,,,,,,,,,,,,,0,70,0
14524,control_change,,12,0,1,,,,,,,,,,,,64,0,0,,
14526,note_on,,2,0,1,,,,,,,,,,,,,,0,72,0
14548,note_on,,22,0,1,,,,,,,,,,,,,,0,77,66
14551,note_on,,3,0,1,,,,,,,,,,,,,,0,74,55
14590,note_on,,39,0,1,,,,,,,,,,,,,,0,77,0
14592,note_on,,2,0,1,,,,,,,,,,,,,,0,74,0
14626,note_on,,34,0,1,,,,,,,,,,,,,,0,79,71
14628,note_on,,2,0,1,,,,,,,,,,,,,,0,76,27
14672,note_on,,44,0,1,,,,,,,,,,,,,,0,79,0
14702,note_on,,30,0,1,,,,,,,,,,,,,,0,81,57
14704,note_on,,2,0,1,,,,,,,,,,,,,,0,77,59
14716,note_on,,12,0,1,,,,,,,,,,,,,,0,76,0
14756,note_on,,40,0,1,,,,,,,,,,,,,,0,77,0
14768,note_on,,12,0,1,,,,,,,,,,,,,,0,81,0
14784,note_on,,16,0,1,,,,,,,,,,,,,,0,82,52
14791,note_on,,7,0,1,,,,,,,,,,,,,,0,79,49
14844,note_on,,53,0,1,,,,,,,,,,,,,,0,81,76
14849,note_on,,5,0,1,,,,,,,,,,,,,,0,79,0
14860,note_on,,11,0,1,,,,,,,,,,,,,,0,84,94
14872,note_on,,12,0,1,,,,,,,,,,,,,,0,82,0
14950,note_on,,78,0,1,,,,,,,,,,,,,,0,81,0
14960,note_on,,10,0,1,,,,,,,,,,,,,,0,84,0
15084,note_on,,124,0,1,,,,,,,,,,,,,,0,82,78
15104,note_on,,20,0,1,,,,,,,,,,,,,,0,79,75
15150,note_on,,46,0,1,,,,,,,,,,,,,,0,79,0
15166,note_on,,16,0,1,,,,,,,,,,,,,,0,82,0
15322,note_on,,156,0,1,,,,,,,,,,,,,,0,77,64
15328,note_on,,6,0,1,,,,,,,,,,,,,,0,81,79
15360,note_on,,32,0,1,,,,,,,,,,,,,,0,77,0
15416,note_on,,56,0,1,,,,,,,,,,,,,,0,81,0
15582,note_on,,166,0,1,,,,,,,,,,,,,,0,79,85
15584,note_on,,2,0,1,,,,,,,,,,,,,,0,60,67
15822,note_on,,238,0,1,,,,,,,,,,,,,,0,81,55
15826,note_on,,4,0,1,,,,,,,,,,,,,,0,79,0
15874,note_on,,48,0,1,,,,,,,,,,,,,,0,81,0
15892,control_change,,18,0,1,,,,,,,,,,,,64,127,0,,
15908,note_on,,16,0,1,,,,,,,,,,,,,,0,79,50
15970,note_on,,62,0,1,,,,,,,,,,,,,,0,79,0
15984,note_on,,14,0,1,,,,,,,,,,,,,,0,81,51
16036,note_on,,52,0,1,,,,,,,,,,,,,,0,81,0
16046,note_on,,10,0,1,,,,,,,,,,,,,,0,79,60
16112,note_on,,66,0,1,,,,,,,,,,,,,,0,79,0
16112,note_on,,0,0,1,,,,,,,,,,,,,,0,81,47
16170,note_on,,58,0,1,,,,,,,,,,,,,,0,81,0
16198,note_on,,28,0,1,,,,,,,,,,,,,,0,79,41
16240,note_on,,42,0,1,,,,,,,,,,,,,,0,81,57
16262,control_change,,22,0,1,,,,,,,,,,,,64,0,0,,
16296,note_on,,34,0,1,,,,,,,,,,,,,,0,81,0
16368,note_on,,72,0,1,,,,,,,,,,,,,,0,79,0
16368,note_on,,0,0,1,,,,,,,,,,,,,,0,81,55
16406,note_on,,38,0,1,,,,,,,,,,,,,,0,67,35
16418,note_on,,12,0,1,,,,,,,,,,,,,,0,79,54
16418,note_on,,0,0,1,,,,,,,,,,,,,,0,64,39
16430,note_on,,12,0,1,,,,,,,,,,,,,,0,81,0
16446,note_on,,16,0,1,,,,,,,,,,,,,,0,60,0
16528,note_on,,82,0,1,,,,,,,,,,,,,,0,79,0
