tick,type,tempo,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,port,control,value,channel,program,note,velocity,pitch,data
0,set_tempo,375000,0,1,0,,,,,,,,,,,,,,
0,track_name,,0,1,10,,,,,,,,,,,,,,
0,midi_port,,0,1,10,,,,,,0,,,,,,,,
0,text,,0,1,10,,,,,,,,,,,,,,
0,text,,0,1,10,,,,,,,,,,,,,,
0,midi_port,,0,1,8,,,,,,0,,,,,,,,
0,track_name,,0,1,8,,,,,,,,,,,,,,
0,track_name,,0,1,2,,,,,,,,,,,,,,
0,midi_port,,0,1,2,,,,,,0,,,,,,,,
0,midi_port,,0,1,7,,,,,,0,,,,,,,,
0,midi_port,,0,1,4,,,,,,0,,,,,,,,
0,midi_port,,0,1,15,,,,,,0,,,,,,,,
0,track_name,,0,1,15,,,,,,,,,,,,,,
0,track_name,,0,1,7,,,,,,,,,,,,,,
0,midi_port,,0,1,14,,,,,,0,,,,,,,,
0,track_name,,0,1,14,,,,,,,,,,,,,,
0,track_name,,0,1,11,,,,,,,,,,,,,,
0,midi_port,,0,1,11,,,,,,0,,,,,,,,
0,midi_port,,0,1,6,,,,,,0,,,,,,,,
0,track_name,,0,1,6,,,,,,,,,,,,,,
0,midi_port,,0,1,13,,,,,,0,,,,,,,,
0,track_name,,0,1,3,,,,,,,,,,,,,,
0,midi_port,,0,1,3,,,,,,0,,,,,,,,
0,midi_port,,0,1,5,,,,,,0,,,,,,,,
0,track_name,,0,1,5,,,,,,,,,,,,,,
0,track_name,,0,1,12,,,,,,,,,,,,,,
0,midi_port,,0,1,12,,,,,,0,,,,,,,,
0,track_name,,0,1,13,,,,,,,,,,,,,,
0,track_name,,0,1,9,,,,,,,,,,,,,,
0,midi_port,,0,1,9,,,,,,0,,,,,,,,
0,track_name,,0,1,4,,,,,,,,,,,,,,
0,text,,0,1,0,,,,,,,,,,,,,,
0,key_signature,,0,1,0,,,,,Bm,,,,,,,,,
0,midi_port,,0,1,1,,,,,,0,,,,,,,,
0,text,,0,1,0,,,,,,,,,,,,,,
0,text,,0,1,0,,,,,,,,,,,,,,
0,text,,0,1,0,,,,,,,,,,,,,,
0,text,,0,1,0,,,,,,,,,,,,,,
0,track_name,,0,1,1,,,,,,,,,,,,,,
0,text,,0,1,0,,,,,,,,,,,,,,
0,text,,0,1,0,,,,,,,,,,,,,,
0,text,,0,1,0,,,,,,,,,,,,,,
0,track_name,,0,1,0,,,,,,,,,,,,,,
0,key_signature,,0,1,0,,,,,C,,,,,,,,,
0,key_signature,,0,1,0,,,,,F,,,,,,,,,
0,time_signature,,0,1,0,3,4,24,8,,,,,,,,,,
6,sysex,,6,0,10,,,,,,,,,,,,,,"(65, 16, 22, 18, 127, 0, 0, 0, 1)"
6,text,,0,1,10,,,,,,,,,,,,,,
12,text,,0,1,10,,,,,,,,,,,,,,
12,text,,0,1,10,,,,,,,,,,,,,,
12,text,,0,1,10,,,,,,,,,,,,,,
12,text,,0,1,10,,,,,,,,,,,,,,
12,text,,0,1,10,,,,,,,,,,,,,,
12,text,,0,1,10,,,,,,,,,,,,,,
12,text,,0,1,10,,,,,,,,,,,,,,
12,text,,0,1,10,,,,,,,,,,,,,,
12,sysex,,0,0,10,,,,,,,,,,,,,,"(65, 16, 22, 18, 16, 0, 20, 16, 76)"
12,text,,0,1,10,,,,,,,,,,,,,,
12,text,,6,1,10,,,,,,,,,,,,,,
12,sysex,,0,0,10,,,,,,,,,,,,,,"(65, 16, 22, 18, 16, 0, 13, 16, 83)"
12,sysex,,0,0,10,,,,,,,,,,,,,,"(65, 16, 22, 18, 16, 0, 14, 16, 82)"
12,sysex,,0,0,10,,,,,,,,,,,,,,"(65, 16, 22, 18, 16, 0, 15, 16, 81)"
12,sysex,,0,0,10,,,,,,,,,,,,,,"(65, 16, 22, 18, 16, 0, 16, 16, 80)"
12,sysex,,0,0,10,,,,,,,,,,,,,,"(65, 16, 22, 18, 16, 0, 21, 16, 75)"
12,sysex,,0,0,10,,,,,,,,,,,,,,"(65, 16, 22, 18, 16, 0, 17, 16, 79)"
12,text,,0,1,10,,,,,,,,,,,,,,
12,sysex,,0,0,10,,,,,,,,,,,,,,"(65, 16, 22, 18, 16, 0, 19, 16, 77)"
12,sysex,,0,0,10,,,,,,,,,,,,,,"(65, 16, 22, 18, 16, 0, 18, 16, 78)"
18,sysex,,0,0,10,,,,,,,,,,,,,,"(65, 16, 22, 18, 82, 0, 15, 16, 15)"
18,sysex,,0,0,10,,,,,,,,,,,,,,"(65, 16, 22, 18, 82, 0, 14, 16, 16)"
18,text,,0,1,10,,,,,,,,,,,,,,
18,sysex,,0,0,10,,,,,,,,,,,,,,"(65, 16, 22, 18, 82, 0, 12, 16, 18)"
18,sysex,,0,0,10,,,,,,,,,,,,,,"(65, 16, 22, 18, 82, 0, 11, 16, 19)"
18,sysex,,0,0,10,,,,,,,,,,,,,,"(65, 16, 22, 18, 82, 0, 10, 16, 20)"
18,text,,0,1,10,,,,,,,,,,,,,,
18,text,,0,1,10,,,,,,,,,,,,,,
18,text,,0,1,10,,,,,,,,,,,,,,
18,text,,0,1,10,,,,,,,,,,,,,,
18,text,,0,1,10,,,,,,,,,,,,,,
18,text,,0,1,10,,,,,,,,,,,,,,
18,sysex,,0,0,10,,,,,,,,,,,,,,"(65, 16, 22, 18, 82, 0, 13, 16, 17)"
18,text,,6,1,10,,,,,,,,,,,,,,
24,text,,0,1,10,,,,,,,,,,,,,,
24,text,,0,1,10,,,,,,,,,,,,,,
24,text,,0,1,10,,,,,,,,,,,,,,
24,sysex,,6,0,10,,,,,,,,,,,,,,"(65, 16, 66, 18, 64, 0, 127, 0, 65)"
30,sysex,,6,0,10,,,,,,,,,,,,,,"(65, 16, 66, 18, 64, 1, 56, 6, 1)"
30,text,,0,1,10,,,,,,,,,,,,,,
36,sysex,,6,0,10,,,,,,,,,,,,,,"(65, 16, 66, 18, 64, 1, 62, 32, 97)"
36,text,,0,1,10,,,,,,,,,,,,,,
42,text,,0,1,10,,,,,,,,,,,,,,
42,text,,0,1,10,,,,,,,,,,,,,,
42,sysex,,6,0,10,,,,,,,,,,,,,,"(65, 16, 66, 18, 64, 1, 61, 1, 1)"
42,text,,0,1,10,,,,,,,,,,,,,,
48,sysex,,6,0,10,,,,,,,,,,,,,,"(65, 16, 66, 18, 64, 1, 48, 3, 12)"
48,text,,0,1,10,,,,,,,,,,,,,,
54,sysex,,6,0,10,,,,,,,,,,,,,,"(65, 16, 66, 18, 64, 1, 51, 98, 42)"
54,text,,0,1,10,,,,,,,,,,,,,,
60,text,,0,1,10,,,,,,,,,,,,,,
60,sysex,,6,0,10,,,,,,,,,,,,,,"(65, 16, 66, 18, 64, 1, 52, 72, 67)"
66,text,,0,1,10,,,,,,,,,,,,,,
66,text,,0,1,10,,,,,,,,,,,,,,
66,sysex,,6,0,10,,,,,,,,,,,,,,"(65, 16, 66, 18, 64, 1, 54, 72, 65)"
72,sysex,,0,0,10,,,,,,,,,,,,,,"(65, 16, 66, 18, 64, 1, 16, 0, 1, 1, 1, 1, 4, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 23)"
72,sysex,,6,0,10,,,,,,,,,,,,,,"(65, 16, 66, 18, 64, 0, 4, 127, 61)"
102,text,,0,1,14,,,,,,,,,,,,,,
102,text,,0,1,14,,,,,,,,,,,,,,
102,control_change,,0,0,14,,,,,,,0,0,13,,,,,
102,program_change,,0,0,14,,,,,,,,,13,47,,,,
102,text,,102,1,14,,,,,,,,,,,,,,
108,control_change,,0,0,14,,,,,,,7,110,13,,,,,
108,text,,6,1,14,,,,,,,,,,,,,,
114,control_change,,0,0,14,,,,,,,11,96,13,,,,,
114,text,,6,1,14,,,,,,,,,,,,,,
120,control_change,,0,0,14,,,,,,,10,64,13,,,,,
120,text,,6,1,14,,,,,,,,,,,,,,
126,control_change,,0,0,14,,,,,,,91,110,13,,,,,
126,text,,6,1,14,,,,,,,,,,,,,,
128,control_change,,0,0,14,,,,,,,93,30,13,,,,,
128,text,,2,1,14,,,,,,,,,,,,,,
130,control_change,,2,0,14,,,,,,,1,12,13,,,,,
132,pitchwheel,,2,0,14,,,,,,,,,13,,,,0,
134,text,,2,1,14,,,,,,,,,,,,,,
134,text,,0,1,14,,,,,,,,,,,,,,
134,control_change,,0,0,14,,,,,,,99,1,13,,,,,
136,control_change,,2,0,14,,,,,,,98,32,13,,,,,
138,control_change,,2,0,14,,,,,,,6,40,13,,,,,
140,control_change,,0,0,14,,,,,,,98,33,13,,,,,
140,text,,2,1,14,,,,,,,,,,,,,,
142,control_change,,2,0,14,,,,,,,6,54,13,,,,,
144,control_change,,0,0,12,,,,,,,91,85,11,,,,,
144,control_change,,0,0,14,,,,,,,98,99,13,,,,,
144,text,,144,1,12,,,,,,,,,,,,,,
144,text,,0,1,12,,,,,,,,,,,,,,
144,text,,0,1,12,,,,,,,,,,,,,,
144,text,,2,1,14,,,,,,,,,,,,,,
144,text,,144,1,11,,,,,,,,,,,,,,
144,control_change,,0,0,6,,,,,,,91,95,5,,,,,
144,text,,0,1,11,,,,,,,,,,,,,,
144,control_change,,0,0,3,,,,,,,91,80,2,,,,,
144,text,,0,1,3,,,,,,,,,,,,,,
144,text,,0,1,3,,,,,,,,,,,,,,
144,text,,144,1,3,,,,,,,,,,,,,,
144,text,,144,1,13,,,,,,,,,,,,,,
144,text,,144,1,4,,,,,,,,,,,,,,
144,text,,0,1,4,,,,,,,,,,,,,,
144,text,,0,1,4,,,,,,,,,,,,,,
144,control_change,,0,0,4,,,,,,,91,85,3,,,,,
144,text,,0,1,13,,,,,,,,,,,,,,
144,text,,0,1,13,,,,,,,,,,,,,,
144,control_change,,0,0,13,,,,,,,91,85,12,,,,,
144,text,,0,1,11,,,,,,,,,,,,,,
144,control_change,,0,0,8,,,,,,,91,80,7,,,,,
144,text,,0,1,8,,,,,,,,,,,,,,
144,text,,144,1,6,,,,,,,,,,,,,,
144,text,,144,1,8,,,,,,,,,,,,,,
144,control_change,,0,0,11,,,,,,,91,80,10,,,,,
144,text,,0,1,6,,,,,,,,,,,,,,
144,text,,144,1,2,,,,,,,,,,,,,,
144,text,,0,1,2,,,,,,,,,,,,,,
144,text,,0,1,2,,,,,,,,,,,,,,
144,control_change,,0,0,2,,,,,,,91,80,1,,,,,
144,text,,0,1,6,,,,,,,,,,,,,,
144,text,,0,1,8,,,,,,,,,,,,,,
145,text,,145,1,5,,,,,,,,,,,,,,
145,text,,0,1,5,,,,,,,,,,,,,,
145,control_change,,0,0,9,,,,,,,91,80,8,,,,,
145,text,,0,1,9,,,,,,,,,,,,,,
145,text,,0,1,9,,,,,,,,,,,,,,
145,control_change,,0,0,1,,,,,,,91,90,0,,,,,
145,text,,0,1,5,,,,,,,,,,,,,,
145,control_change,,0,0,5,,,,,,,91,95,4,,,,,
145,text,,145,1,1,,,,,,,,,,,,,,
145,text,,0,1,1,,,,,,,,,,,,,,
145,text,,0,1,1,,,,,,,,,,,,,,
145,text,,145,1,9,,,,,,,,,,,,,,
146,control_change,,2,0,14,,,,,,,6,64,13,,,,,
146,text,,0,1,7,,,,,,,,,,,,,,
146,control_change,,0,0,15,,,,,,,91,105,14,,,,,
146,control_change,,0,0,7,,,,,,,91,105,6,,,,,
146,text,,146,1,7,,,,,,,,,,,,,,
146,text,,0,1,15,,,,,,,,,,,,,,
146,text,,0,1,15,,,,,,,,,,,,,,
146,text,,0,1,7,,,,,,,,,,,,,,
146,text,,146,1,15,,,,,,,,,,,,,,
147,control_change,,0,0,11,,,,,,,93,0,10,,,,,
147,control_change,,0,0,2,,,,,,,93,0,1,,,,,
147,text,,3,1,6,,,,,,,,,,,,,,
147,text,,3,1,11,,,,,,,,,,,,,,
147,text,,3,1,2,,,,,,,,,,,,,,
147,text,,3,1,4,,,,,,,,,,,,,,
147,text,,3,1,8,,,,,,,,,,,,,,
147,control_change,,0,0,8,,,,,,,93,0,7,,,,,
147,control_change,,0,0,6,,,,,,,93,0,5,,,,,
147,control_change,,0,0,13,,,,,,,93,0,12,,,,,
147,control_change,,0,0,4,,,,,,,93,0,3,,,,,
147,text,,3,1,13,,,,,,,,,,,,,,
147,control_change,,0,0,12,,,,,,,93,0,11,,,,,
147,text,,3,1,3,,,,,,,,,,,,,,
147,text,,3,1,12,,,,,,,,,,,,,,
147,control_change,,0,0,3,,,,,,,93,0,2,,,,,
148,text,,2,1,14,,,,,,,,,,,,,,
148,text,,3,1,1,,,,,,,,,,,,,,
148,control_change,,0,0,1,,,,,,,93,0,0,,,,,
148,text,,3,1,9,,,,,,,,,,,,,,
148,control_change,,0,0,9,,,,,,,93,0,8,,,,,
148,control_change,,0,0,5,,,,,,,93,0,4,,,,,
148,control_change,,0,0,14,,,,,,,98,100,13,,,,,
148,text,,3,1,5,,,,,,,,,,,,,,
149,control_change,,0,0,7,,,,,,,93,0,6,,,,,
149,text,,3,1,15,,,,,,,,,,,,,,
149,control_change,,0,0,15,,,,,,,93,0,14,,,,,
149,text,,3,1,7,,,,,,,,,,,,,,
150,text,,3,1,4,,,,,,,,,,,,,,
150,control_change,,0,0,4,,,,,,,0,0,3,,,,,
150,control_change,,0,0,13,,,,,,,0,0,12,,,,,
150,text,,3,1,13,,,,,,,,,,,,,,
150,control_change,,0,0,12,,,,,,,0,0,11,,,,,
150,control_change,,0,0,8,,,,,,,0,0,7,,,,,
150,control_change,,0,0,8,,,,,,,0,32,7,,,,,
150,program_change,,0,0,8,,,,,,,,,7,49,,,,
150,control_change,,2,0,14,,,,,,,6,64,13,,,,,
150,text,,3,1,3,,,,,,,,,,,,,,
150,control_change,,0,0,3,,,,,,,0,0,2,,,,,
150,text,,3,1,12,,,,,,,,,,,,,,
150,program_change,,0,0,13,,,,,,,,,12,49,,,,
150,control_change,,0,0,13,,,,,,,0,32,12,,,,,
150,program_change,,0,0,11,,,,,,,,,10,49,,,,
150,control_change,,0,0,2,,,,,,,0,0,1,,,,,
150,program_change,,0,0,3,,,,,,,,,2,71,,,,
150,program_change,,0,0,2,,,,,,,,,1,68,,,,
150,program_change,,0,0,6,,,,,,,,,5,56,,,,
150,control_change,,0,0,6,,,,,,,0,0,5,,,,,
150,control_change,,0,0,11,,,,,,,0,32,10,,,,,
150,text,,3,1,6,,,,,,,,,,,,,,
150,text,,3,1,11,,,,,,,,,,,,,,
150,program_change,,0,0,12,,,,,,,,,11,49,,,,
150,control_change,,0,0,12,,,,,,,0,32,11,,,,,
150,text,,3,1,8,,,,,,,,,,,,,,
150,program_change,,0,0,4,,,,,,,,,3,70,,,,
150,control_change,,0,0,11,,,,,,,0,0,10,,,,,
150,text,,3,1,2,,,,,,,,,,,,,,
151,text,,3,1,9,,,,,,,,,,,,,,
151,program_change,,0,0,9,,,,,,,,,8,49,,,,
151,text,,3,1,5,,,,,,,,,,,,,,
151,program_change,,0,0,1,,,,,,,,,0,73,,,,
151,control_change,,0,0,1,,,,,,,0,0,0,,,,,
151,text,,3,1,1,,,,,,,,,,,,,,
151,control_change,,0,0,9,,,,,,,0,0,8,,,,,
151,control_change,,0,0,5,,,,,,,0,0,4,,,,,
151,control_change,,0,0,9,,,,,,,0,32,8,,,,,
151,program_change,,0,0,5,,,,,,,,,4,60,,,,
152,text,,3,1,15,,,,,,,,,,,,,,
152,control_change,,0,0,7,,,,,,,0,0,6,,,,,
152,program_change,,0,0,15,,,,,,,,,14,57,,,,
152,control_change,,0,0,15,,,,,,,0,0,14,,,,,
152,control_change,,0,0,14,,,,,,,98,102,13,,,,,
152,text,,2,1,14,,,,,,,,,,,,,,
152,program_change,,0,0,7,,,,,,,,,6,57,,,,
152,text,,3,1,7,,,,,,,,,,,,,,
153,control_change,,0,0,3,,,,,,,7,82,2,,,,,
153,text,,3,1,12,,,,,,,,,,,,,,
153,control_change,,0,0,12,,,,,,,7,110,11,,,,,
153,control_change,,0,0,4,,,,,,,7,76,3,,,,,
153,text,,3,1,4,,,,,,,,,,,,,,
153,control_change,,0,0,11,,,,,,,7,108,10,,,,,
153,control_change,,0,0,2,,,,,,,7,96,1,,,,,
153,text,,3,1,2,,,,,,,,,,,,,,
153,text,,3,1,8,,,,,,,,,,,,,,
153,control_change,,0,0,6,,,,,,,7,96,5,,,,,
153,text,,3,1,6,,,,,,,,,,,,,,
153,control_change,,0,0,8,,,,,,,7,100,7,,,,,
153,control_change,,0,0,13,,,,,,,7,110,12,,,,,
153,text,,3,1,13,,,,,,,,,,,,,,
153,text,,3,1,3,,,,,,,,,,,,,,
153,text,,3,1,11,,,,,,,,,,,,,,
154,text,,3,1,5,,,,,,,,,,,,,,
154,control_change,,0,0,1,,,,,,,7,90,0,,,,,
154,control_change,,2,0,14,,,,,,,6,66,13,,,,,
154,control_change,,0,0,5,,,,,,,7,105,4,,,,,
154,text,,3,1,9,,,,,,,,,,,,,,
154,text,,3,1,1,,,,,,,,,,,,,,
154,control_change,,0,0,9,,,,,,,7,102,8,,,,,
155,control_change,,0,0,15,,,,,,,7,110,14,,,,,
155,text,,3,1,7,,,,,,,,,,,,,,
155,control_change,,0,0,7,,,,,,,7,115,6,,,,,
155,text,,3,1,15,,,,,,,,,,,,,,
156,text,,3,1,4,,,,,,,,,,,,,,
156,control_change,,0,0,11,,,,,,,11,96,10,,,,,
156,control_change,,0,0,6,,,,,,,11,96,5,,,,,
156,control_change,,0,0,4,,,,,,,11,96,3,,,,,
156,text,,3,1,6,,,,,,,,,,,,,,
156,text,,3,1,12,,,,,,,,,,,,,,
156,text,,3,1,8,,,,,,,,,,,,,,
156,control_change,,0,0,8,,,,,,,11,96,7,,,,,
156,text,,3,1,11,,,,,,,,,,,,,,
156,control_change,,0,0,12,,,,,,,11,96,11,,,,,
156,control_change,,0,0,2,,,,,,,11,96,1,,,,,
156,control_change,,0,0,13,,,,,,,11,96,12,,,,,
156,text,,3,1,13,,,,,,,,,,,,,,
156,text,,3,1,3,,,,,,,,,,,,,,
156,control_change,,0,0,3,,,,,,,11,96,2,,,,,
156,text,,3,1,2,,,,,,,,,,,,,,
157,text,,3,1,1,,,,,,,,,,,,,,
157,control_change,,0,0,1,,,,,,,11,96,0,,,,,
157,control_change,,0,0,5,,,,,,,11,96,4,,,,,
157,text,,3,1,5,,,,,,,,,,,,,,
157,text,,3,1,9,,,,,,,,,,,,,,
157,control_change,,0,0,9,,,,,,,11,96,8,,,,,
158,text,,3,1,7,,,,,,,,,,,,,,
158,text,,3,1,15,,,,,,,,,,,,,,
158,control_change,,0,0,7,,,,,,,11,96,6,,,,,
158,control_change,,0,0,15,,,,,,,11,96,14,,,,,
159,control_change,,0,0,2,,,,,,,10,52,1,,,,,
159,text,,3,1,2,,,,,,,,,,,,,,
159,control_change,,0,0,4,,,,,,,10,84,3,,,,,
159,control_change,,0,0,6,,,,,,,10,52,5,,,,,
159,text,,3,1,13,,,,,,,,,,,,,,
159,control_change,,0,0,12,,,,,,,10,85,11,,,,,
159,text,,3,1,12,,,,,,,,,,,,,,
159,control_change,,0,0,13,,,,,,,10,85,12,,,,,
159,text,,3,1,11,,,,,,,,,,,,,,
159,control_change,,0,0,11,,,,,,,10,64,10,,,,,
159,control_change,,0,0,8,,,,,,,10,30,7,,,,,
159,control_change,,0,0,3,,,,,,,10,36,2,,,,,
159,text,,3,1,3,,,,,,,,,,,,,,
159,text,,3,1,6,,,,,,,,,,,,,,
159,text,,3,1,4,,,,,,,,,,,,,,
159,text,,3,1,8,,,,,,,,,,,,,,
160,control_change,,0,0,1,,,,,,,10,48,0,,,,,
160,text,,3,1,1,,,,,,,,,,,,,,
160,text,,3,1,9,,,,,,,,,,,,,,
160,text,,3,1,5,,,,,,,,,,,,,,
160,control_change,,0,0,5,,,,,,,10,64,4,,,,,
160,control_change,,0,0,9,,,,,,,10,46,8,,,,,
161,control_change,,0,0,15,,,,,,,10,78,14,,,,,
161,text,,3,1,15,,,,,,,,,,,,,,
161,text,,3,1,7,,,,,,,,,,,,,,
161,control_change,,0,0,7,,,,,,,10,78,6,,,,,
162,text,,3,1,6,,,,,,,,,,,,,,
162,text,,0,1,12,,,,,,,,,,,,,,
162,text,,0,1,12,,,,,,,,,,,,,,
162,text,,3,1,8,,,,,,,,,,,,,,
162,text,,0,1,8,,,,,,,,,,,,,,
162,text,,0,1,8,,,,,,,,,,,,,,
162,control_change,,0,0,8,,,,,,,99,1,7,,,,,
162,control_change,,0,0,12,,,,,,,99,1,11,,,,,
162,text,,0,1,6,,,,,,,,,,,,,,
162,control_change,,0,0,11,,,,,,,99,1,10,,,,,
162,control_change,,0,0,13,,,,,,,99,1,12,,,,,
162,text,,0,1,13,,,,,,,,,,,,,,
162,text,,0,1,13,,,,,,,,,,,,,,
162,text,,3,1,13,,,,,,,,,,,,,,
162,text,,0,1,11,,,,,,,,,,,,,,
162,text,,3,1,12,,,,,,,,,,,,,,
162,text,,0,1,6,,,,,,,,,,,,,,
162,text,,3,1,11,,,,,,,,,,,,,,
162,control_change,,0,0,3,,,,,,,99,1,2,,,,,
162,text,,3,1,4,,,,,,,,,,,,,,
162,text,,0,1,4,,,,,,,,,,,,,,
162,text,,0,1,4,,,,,,,,,,,,,,
162,control_change,,0,0,4,,,,,,,99,1,3,,,,,
162,control_change,,0,0,6,,,,,,,99,1,5,,,,,
162,text,,0,1,2,,,,,,,,,,,,,,
162,control_change,,0,0,2,,,,,,,99,1,1,,,,,
162,text,,3,1,2,,,,,,,,,,,,,,
162,text,,0,1,11,,,,,,,,,,,,,,
162,text,,0,1,3,,,,,,,,,,,,,,
162,text,,0,1,3,,,,,,,,,,,,,,
162,text,,0,1,2,,,,,,,,,,,,,,
162,text,,3,1,3,,,,,,,,,,,,,,
163,text,,3,1,5,,,,,,,,,,,,,,
163,text,,0,1,5,,,,,,,,,,,,,,
163,text,,0,1,5,,,,,,,,,,,,,,
163,control_change,,0,0,5,,,,,,,99,1,4,,,,,
163,control_change,,0,0,9,,,,,,,99,1,8,,,,,
163,text,,3,1,1,,,,,,,,,,,,,,
163,text,,0,1,9,,,,,,,,,,,,,,
163,text,,0,1,1,,,,,,,,,,,,,,
163,text,,0,1,1,,,,,,,,,,,,,,
163,control_change,,0,0,1,,,,,,,99,1,0,,,,,
163,text,,0,1,9,,,,,,,,,,,,,,
163,text,,3,1,9,,,,,,,,,,,,,,
164,control_change,,0,0,15,,,,,,,99,1,14,,,,,
164,text,,0,1,15,,,,,,,,,,,,,,
164,text,,0,1,15,,,,,,,,,,,,,,
164,text,,0,1,7,,,,,,,,,,,,,,
164,text,,3,1,15,,,,,,,,,,,,,,
164,text,,3,1,7,,,,,,,,,,,,,,
164,control_change,,0,0,7,,,,,,,99,1,6,,,,,
164,text,,0,1,7,,,,,,,,,,,,,,
165,control_change,,3,0,6,,,,,,,98,8,5,,,,,
165,control_change,,3,0,3,,,,,,,98,8,2,,,,,
165,control_change,,3,0,12,,,,,,,98,8,11,,,,,
165,control_change,,3,0,2,,,,,,,98,8,1,,,,,
165,control_change,,3,0,8,,,,,,,98,8,7,,,,,
165,control_change,,3,0,4,,,,,,,98,8,3,,,,,
165,control_change,,3,0,11,,,,,,,98,8,10,,,,,
165,control_change,,3,0,13,,,,,,,98,8,12,,,,,
166,control_change,,3,0,5,,,,,,,98,8,4,,,,,
166,control_change,,3,0,1,,,,,,,98,8,0,,,,,
166,control_change,,3,0,9,,,,,,,98,8,8,,,,,
167,control_change,,3,0,7,,,,,,,98,8,6,,,,,
167,control_change,,3,0,15,,,,,,,98,8,14,,,,,
168,control_change,,3,0,2,,,,,,,6,72,1,,,,,
168,text,,0,1,4,,,,,,,,,,,,,,
