tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,data,tempo,key,control,value,channel,program,note,velocity
0,time_signature,12,8,96,8,0,1,0,,,,,,,,,
0,control_change,,,,,0,0,7,,,,0,0,0,,,
0,program_change,,,,,0,0,7,,,,,,0,40,,
0,control_change,,,,,0,0,7,,,,7,100,0,,,
0,control_change,,,,,0,0,7,,,,91,107,0,,,
0,key_signature,,,,,0,1,7,,,Bm,,,,,,
0,track_name,,,,,0,1,13,,,,,,,,,
0,track_name,,,,,0,1,7,,,,,,,,,
0,control_change,,,,,0,0,13,,,,0,0,6,,,
0,control_change,,,,,0,0,13,,,,7,45,6,,,
0,control_change,,,,,0,0,13,,,,10,77,6,,,
0,control_change,,,,,0,0,13,,,,91,107,6,,,
0,key_signature,,,,,0,1,13,,,Bm,,,,,,
0,note_on,,,,,0,0,13,,,,,,6,,62,100
0,note_on,,,,,0,0,13,,,,,,6,,66,100
0,program_change,,,,,0,0,13,,,,,,6,6,,
0,end_of_track,,,,,0,1,6,,,,,,,,,
0,key_signature,,,,,0,1,6,,,Bm,,,,,,
0,control_change,,,,,0,0,6,,,,91,107,0,,,
0,control_change,,,,,0,0,4,,,,7,100,0,,,
0,control_change,,,,,0,0,4,,,,91,107,0,,,
0,key_signature,,,,,0,1,4,,,Bm,,,,,,
0,end_of_track,,,,,0,1,4,,,,,,,,,
0,track_name,,,,,0,1,5,,,,,,,,,
0,control_change,,,,,0,0,5,,,,0,0,0,,,
0,program_change,,,,,0,0,5,,,,,,0,40,,
0,control_change,,,,,0,0,5,,,,7,100,0,,,
0,control_change,,,,,0,0,5,,,,91,107,0,,,
0,key_signature,,,,,0,1,5,,,Bm,,,,,,
0,end_of_track,,,,,0,1,5,,,,,,,,,
0,track_name,,,,,0,1,6,,,,,,,,,
0,control_change,,,,,0,0,6,,,,0,0,0,,,
0,program_change,,,,,0,0,6,,,,,,0,40,,
0,control_change,,,,,0,0,6,,,,7,100,0,,,
0,track_name,,,,,0,1,8,,,,,,,,,
0,note_on,,,,,0,0,16,,,,,,7,,47,100
0,key_signature,,,,,0,1,16,,,Bm,,,,,,
0,control_change,,,,,0,0,16,,,,91,105,7,,,
0,control_change,,,,,0,0,14,,,,91,107,6,,,
0,key_signature,,,,,0,1,14,,,Bm,,,,,,
0,note_on,,,,,0,0,14,,,,,,6,,47,100
0,key_signature,,,,,0,1,15,,,Bm,,,,,,
0,control_change,,,,,0,0,15,,,,91,105,7,,,
0,control_change,,,,,0,0,15,,,,7,45,7,,,
0,program_change,,,,,0,0,15,,,,,,7,19,,
0,control_change,,,,,0,0,15,,,,0,0,7,,,
0,note_on,,,,,0,0,8,,,,,,1,,74,70
0,key_signature,,,,,0,1,8,,,Bm,,,,,,
0,control_change,,,,,0,0,8,,,,91,107,1,,,
0,control_change,,,,,0,0,8,,,,10,49,1,,,
0,control_change,,,,,0,0,8,,,,7,100,1,,,
0,program_change,,,,,0,0,8,,,,,,1,48,,
0,control_change,,,,,0,0,8,,,,0,0,1,,,
0,control_change,,,,,0,0,14,,,,10,77,6,,,
0,program_change,,,,,0,0,4,,,,,,0,40,,
0,control_change,,,,,0,0,14,,,,7,45,6,,,
0,control_change,,,,,0,0,14,,,,0,0,6,,,
0,control_change,,,,,0,0,16,,,,7,45,7,,,
0,program_change,,,,,0,0,16,,,,,,7,19,,
0,control_change,,,,,0,0,16,,,,0,0,7,,,
0,track_name,,,,,0,1,16,,,,,,,,,
0,note_on,,,,,0,0,15,,,,,,7,,71,100
0,note_on,,,,,0,0,15,,,,,,7,,62,100
0,note_on,,,,,0,0,9,,,,,,2,,71,70
0,key_signature,,,,,0,1,9,,,Bm,,,,,,
0,control_change,,,,,0,0,9,,,,91,108,2,,,
0,control_change,,,,,0,0,9,,,,10,36,2,,,
0,control_change,,,,,0,0,9,,,,7,96,2,,,
0,program_change,,,,,0,0,9,,,,,,2,48,,
0,control_change,,,,,0,0,9,,,,0,0,2,,,
0,track_name,,,,,0,1,9,,,,,,,,,
0,track_name,,,,,0,1,14,,,,,,,,,
0,program_change,,,,,0,0,14,,,,,,6,6,,
0,control_change,,,,,0,0,4,,,,0,0,0,,,
0,track_name,,,,,0,1,15,,,,,,,,,
0,end_of_track,,,,,0,1,3,,,,,,,,,
0,set_tempo,,,,,0,1,0,,1250000,,,,,,,
0,note_on,,,,,0,0,12,,,,,,5,,35,70
0,key_signature,,,,,0,1,12,,,Bm,,,,,,
0,track_name,,,,,0,1,4,,,,,,,,,
0,note_on,,,,,0,0,11,,,,,,4,,47,70
0,key_signature,,,,,0,1,11,,,Bm,,,,,,
0,control_change,,,,,0,0,11,,,,91,107,4,,,
0,sequencer_specific,,,,,0,1,0,"(0, 0, 119, 14, 1)",,,,,,,,
0,control_change,,,,,0,0,11,,,,10,79,4,,,
0,program_change,,,,,0,0,11,,,,,,4,48,,
0,control_change,,,,,0,0,11,,,,0,0,4,,,
0,track_name,,,,,0,1,11,,,,,,,,,
0,track_name,,,,,0,1,12,,,,,,,,,
0,control_change,,,,,0,0,12,,,,0,0,5,,,
0,program_change,,,,,0,0,12,,,,,,5,48,,
0,control_change,,,,,0,0,12,,,,7,72,5,,,
0,control_change,,,,,0,0,11,,,,7,82,4,,,
0,control_change,,,,,0,0,12,,,,10,90,5,,,
0,sequencer_specific,,,,,0,1,0,"(0, 0, 65)",,,,,,,,
0,key_signature,,,,,0,1,10,,,Bm,,,,,,
0,key_signature,,,,,0,1,3,,,Bm,,,,,,
0,program_change,,,,,0,0,3,,,,,,0,40,,
0,control_change,,,,,0,0,3,,,,91,107,0,,,
0,control_change,,,,,0,0,3,,,,7,100,0,,,
0,control_change,,,,,0,0,3,,,,0,0,0,,,
0,track_name,,,,,0,1,3,,,,,,,,,
0,end_of_track,,,,,0,1,2,,,,,,,,,
0,key_signature,,,,,0,1,2,,,C,,,,,,
0,note_on,,,,,0,0,10,,,,,,3,,66,70
0,track_name,,,,,0,1,2,,,,,,,,,
0,key_signature,,,,,0,1,1,,,C,,,,,,
0,track_name,,,,,0,1,1,,,,,,,,,
0,track_name,,,,,0,1,10,,,,,,,,,
0,control_change,,,,,0,0,10,,,,0,0,3,,,
0,program_change,,,,,0,0,10,,,,,,3,48,,
0,control_change,,,,,0,0,10,,,,7,92,3,,,
0,control_change,,,,,0,0,10,,,,91,108,3,,,
0,end_of_track,,,,,0,1,1,,,,,,,,,
0,control_change,,,,,0,0,12,,,,91,108,5,,,
228,note_off,,,,,228,0,9,,,,,,2,,71,0
228,note_off,,,,,228,0,8,,,,,,1,,74,0
288,note_on,,,,,60,0,9,,,,,,2,,73,72
288,note_on,,,,,60,0,8,,,,,,1,,76,72
304,note_off,,,,,304,0,14,,,,,,6,,47,0
304,note_off,,,,,304,0,11,,,,,,4,,47,0
304,note_off,,,,,304,0,12,,,,,,5,,35,0
304,note_off,,,,,304,0,13,,,,,,6,,62,0
304,note_off,,,,,304,0,16,,,,,,7,,47,0
304,note_off,,,,,304,0,10,,,,,,3,,66,0
304,note_off,,,,,0,0,13,,,,,,6,,66,0
352,note_off,,,,,64,0,8,,,,,,1,,76,0
352,note_off,,,,,64,0,9,,,,,,2,,73,0
384,note_on,,,,,80,0,11,,,,,,4,,47,73
384,note_on,,,,,32,0,8,,,,,,1,,74,73
384,note_on,,,,,80,0,14,,,,,,6,,47,100
384,note_on,,,,,80,0,16,,,,,,7,,47,100
384,note_on,,,,,80,0,10,,,,,,3,,66,73
384,note_on,,,,,32,0,9,,,,,,2,,71,73
384,note_on,,,,,80,0,12,,,,,,5,,35,73
384,note_on,,,,,0,0,13,,,,,,6,,66,100
384,note_on,,,,,80,0,13,,,,,,6,,62,100
512,note_off,,,,,0,0,13,,,,,,6,,66,0
512,note_off,,,,,128,0,13,,,,,,6,,62,0
512,note_off,,,,,128,0,14,,,,,,6,,47,0
512,note_off,,,,,128,0,12,,,,,,5,,35,0
512,note_off,,,,,128,0,9,,,,,,2,,71,0
512,note_off,,,,,128,0,8,,,,,,1,,74,0
512,note_off,,,,,128,0,16,,,,,,7,,47,0
512,note_off,,,,,128,0,11,,,,,,4,,47,0
512,note_off,,,,,128,0,10,,,,,,3,,66,0
576,note_on,,,,,0,0,13,,,,,,6,,66,100
576,note_on,,,,,64,0,9,,,,,,2,,71,74
576,note_on,,,,,64,0,13,,,,,,6,,62,100
576,note_on,,,,,64,0,8,,,,,,1,,74,74
576,note_on,,,,,64,0,16,,,,,,7,,47,100
576,note_on,,,,,64,0,10,,,,,,3,,66,74
576,note_on,,,,,64,0,14,,,,,,6,,47,100
576,note_on,,,,,64,0,12,,,,,,5,,35,74
576,note_on,,,,,64,0,11,,,,,,4,,47,74
880,note_off,,,,,304,0,8,,,,,,1,,74,0
880,note_off,,,,,304,0,9,,,,,,2,,71,0
880,note_off,,,,,304,0,10,,,,,,3,,66,0
880,note_off,,,,,304,0,11,,,,,,4,,47,0
880,note_off,,,,,304,0,13,,,,,,6,,62,0
880,note_off,,,,,304,0,14,,,,,,6,,47,0
880,note_off,,,,,304,0,12,,,,,,5,,35,0
880,note_off,,,,,0,0,13,,,,,,6,,66,0
880,note_off,,,,,304,0,16,,,,,,7,,47,0
960,note_on,,,,,80,0,10,,,,,,3,,66,78
960,note_on,,,,,80,0,14,,,,,,6,,47,100
960,note_on,,,,,80,0,11,,,,,,4,,47,78
960,note_on,,,,,80,0,9,,,,,,2,,71,78
960,note_on,,,,,80,0,8,,,,,,1,,74,78
960,note_on,,,,,80,0,16,,,,,,7,,47,100
960,note_on,,,,,80,0,13,,,,,,6,,62,100
960,note_on,,,,,0,0,13,,,,,,6,,66,100
960,note_on,,,,,80,0,12,,,,,,5,,35,78
1088,note_off,,,,,0,0,13,,,,,,6,,66,0
1088,note_off,,,,,128,0,10,,,,,,3,,66,0
1088,note_off,,,,,128,0,12,,,,,,5,,35,0
1088,note_off,,,,,128,0,16,,,,,,7,,47,0
1088,note_off,,,,,128,0,13,,,,,,6,,62,0
1088,note_off,,,,,128,0,14,,,,,,6,,47,0
1088,note_off,,,,,128,0,11,,,,,,4,,47,0
1112,note_off,,,,,152,0,9,,,,,,2,,71,0
1112,note_off,,,,,152,0,8,,,,,,1,,74,0
1152,note_on,,,,,40,0,8,,,,,,1,,76,82
1152,note_on,,,,,64,0,16,,,,,,7,,54,100
1152,note_on,,,,,64,0,11,,,,,,4,,54,82
1152,note_on,,,,,64,0,13,,,,,,6,,62,100
1152,note_on,,,,,64,0,10,,,,,,3,,66,82
1152,note_on,,,,,0,0,13,,,,,,6,,71,100
1152,note_on,,,,,64,0,14,,,,,,6,,54,100
1152,note_on,,,,,40,0,9,,,,,,2,,73,82
1152,note_on,,,,,64,0,12,,,,,,5,,42,82
1196,note_off,,,,,44,0,9,,,,,,2,,73,0
1196,note_off,,,,,44,0,8,,,,,,1,,76,0
1200,note_on,,,,,4,0,8,,,,,,1,,74,82
1200,note_on,,,,,4,0,9,,,,,,2,,71,82
1220,note_off,,,,,20,0,8,,,,,,1,,74,0
1220,note_off,,,,,20,0,9,,,,,,2,,71,0
1224,note_on,,,,,4,0,8,,,,,,1,,76,82
1224,note_on,,,,,4,0,9,,,,,,2,,73,82
1244,note_off,,,,,20,0,8,,,,,,1,,76,0
1244,note_off,,,,,20,0,9,,,,,,2,,73,0
1248,note_on,,,,,4,0,8,,,,,,1,,74,81
1248,note_on,,,,,4,0,9,,,,,,2,,71,81
1268,note_off,,,,,20,0,8,,,,,,1,,74,0
1268,note_off,,,,,20,0,9,,,,,,2,,71,0
1272,note_on,,,,,4,0,8,,,,,,1,,76,81
1272,note_on,,,,,4,0,9,,,,,,2,,73,81
1292,note_off,,,,,20,0,8,,,,,,1,,76,0
1292,note_off,,,,,20,0,9,,,,,,2,,73,0
1296,note_on,,,,,4,0,9,,,,,,2,,71,81
1296,note_on,,,,,4,0,8,,,,,,1,,74,81
1316,note_off,,,,,20,0,8,,,,,,1,,74,0
1316,note_off,,,,,20,0,9,,,,,,2,,71,0
1320,note_on,,,,,4,0,8,,,,,,1,,76,80
1320,note_on,,,,,4,0,9,,,,,,2,,73,80
1340,note_off,,,,,20,0,9,,,,,,2,,73,0
1340,note_off,,,,,20,0,8,,,,,,1,,76,0
1344,note_on,,,,,4,0,9,,,,,,2,,71,80
1344,note_on,,,,,4,0,8,,,,,,1,,74,80
1456,note_off,,,,,304,0,16,,,,,,7,,54,0
1456,note_off,,,,,304,0,13,,,,,,6,,62,0
1456,note_off,,,,,304,0,10,,,,,,3,,66,0
1456,note_off,,,,,304,0,14,,,,,,6,,54,0
1456,note_off,,,,,0,0,13,,,,,,6,,71,0
1456,note_off,,,,,304,0,11,,,,,,4,,54,0
1456,note_off,,,,,304,0,12,,,,,,5,,42,0
1532,note_off,,,,,188,0,9,,,,,,2,,71,0
1532,note_off,,,,,1532,0,15,,,,,,7,,62,0
1532,note_off,,,,,0,0,15,,,,,,7,,71,0
1532,note_off,,,,,188,0,8,,,,,,1,,74,0
1536,note_on,,,,,4,0,8,,,,,,1,,73,78
1536,note_on,,,,,80,0,16,,,,,,7,,54,100
1536,note_on,,,,,80,0,13,,,,,,6,,70,100
1536,note_on,,,,,0,0,13,,,,,,6,,61,100
1536,note_on,,,,,80,0,11,,,,,,4,,54,78
1536,note_on,,,,,80,0,10,,,,,,3,,66,78
1536,note_on,,,,,0,0,15,,,,,,7,,70,100
1536,note_on,,,,,4,0,15,,,,,,7,,61,100
1536,note_on,,,,,4,0,9,,,,,,2,,70,78
1536,note_on,,,,,80,0,14,,,,,,6,,54,100
1536,note_on,,,,,80,0,12,,,,,,5,,42,78
1664,note_off,,,,,128,0,11,,,,,,4,,54,0
1664,note_off,,,,,128,0,12,,,,,,5,,42,0
1664,note_off,,,,,128,0,13,,,,,,6,,70,0
1664,note_off,,,,,0,0,13,,,,,,6,,61,0
1664,note_off,,,,,128,0,9,,,,,,2,,70,0
1664,note_off,,,,,0,0,15,,,,,,7,,70,0
1664,note_off,,,,,128,0,15,,,,,,7,,61,0
1664,note_off,,,,,128,0,8,,,,,,1,,73,0
1664,note_off,,,,,128,0,10,,,,,,3,,66,0
1664,note_off,,,,,128,0,16,,,,,,7,,54,0
1664,note_off,,,,,128,0,14,,,,,,6,,54,0
1728,note_on,,,,,64,0,13,,,,,,6,,70,100
1728,note_on,,,,,64,0,15,,,,,,7,,61,100
1728,note_on,,,,,0,0,15,,,,,,7,,70,100
1728,note_on,,,,,64,0,10,,,,,,3,,66,76
1728,note_on,,,,,64,0,16,,,,,,7,,54,100
1728,note_on,,,,,0,0,13,,,,,,6,,61,100
1728,note_on,,,,,64,0,8,,,,,,1,,73,76
1728,note_on,,,,,64,0,12,,,,,,5,,42,76
1728,note_on,,,,,64,0,14,,,,,,6,,54,100
1728,note_on,,,,,64,0,9,,,,,,2,,70,76
1728,note_on,,,,,64,0,11,,,,,,4,,54,76
2032,note_off,,,,,0,0,13,,,,,,6,,61,0
2032,note_off,,,,,304,0,13,,,,,,6,,70,0
2032,note_off,,,,,304,0,12,,,,,,5,,42,0
2032,note_off,,,,,304,0,14,,,,,,6,,54,0
2032,note_off,,,,,304,0,11,,,,,,4,,54,0
2032,note_off,,,,,304,0,10,,,,,,3,,66,0
2032,note_off,,,,,304,0,16,,,,,,7,,54,0
2112,note_on,,,,,80,0,14,,,,,,6,,54,100
2112,note_on,,,,,80,0,10,,,,,,3,,66,71
2112,note_on,,,,,0,0,13,,,,,,6,,61,100
2112,note_on,,,,,80,0,16,,,,,,7,,54,100
2112,note_on,,,,,80,0,12,,,,,,5,,42,71
2112,note_on,,,,,80,0,13,,,,,,6,,70,100
2112,note_on,,,,,80,0,11,,,,,,4,,54,71
2188,note_off,,,,,460,0,8,,,,,,1,,73,0
2188,note_off,,,,,460,0,9,,,,,,2,,70,0
2240,note_off,,,,,128,0,12,,,,,,5,,42,0
2240,note_off,,,,,128,0,11,,,,,,4,,54,0
2240,note_off,,,,,128,0,14,,,,,,6,,54,0
2240,note_off,,,,,128,0,16,,,,,,7,,54,0
2240,note_off,,,,,128,0,10,,,,,,3,,66,0
2240,note_off,,,,,0,0,13,,,,,,6,,61,0
2240,note_off,,,,,128,0,13,,,,,,6,,70,0
2244,note_off,,,,,516,0,15,,,,,,7,,61,0
2244,note_off,,,,,0,0,15,,,,,,7,,70,0
2270,note_on,,,,,30,0,13,,,,,,6,,61,100
2286,note_on,,,,,16,0,13,,,,,,6,,64,100
2304,note_on,,,,,18,0,13,,,,,,6,,66,100
2304,note_on,,,,,64,0,10,,,,,,3,,66,75
2304,note_on,,,,,64,0,14,,,,,,6,,46,100
2304,note_on,,,,,64,0,12,,,,,,5,,34,75
2304,note_on,,,,,60,0,15,,,,,,7,,64,100
2304,note_on,,,,,0,0,15,,,,,,7,,73,100
2304,note_on,,,,,116,0,9,,,,,,2,,73,75
2304,note_on,,,,,116,0,8,,,,,,1,,76,75
2304,note_on,,,,,64,0,16,,,,,,7,,46,100
2304,note_on,,,,,64,0,11,,,,,,4,,46,75
2304,set_tempo,,,,,2304,1,0,,1250000,,,,,,,
2318,note_on,,,,,14,0,13,,,,,,6,,73,100
2532,note_off,,,,,228,0,9,,,,,,2,,73,0
2532,note_off,,,,,228,0,8,,,,,,1,,76,0
2574,note_off,,,,,256,0,13,,,,,,6,,61,0
2590,note_off,,,,,16,0,13,,,,,,6,,64,0
2592,note_on,,,,,60,0,9,,,,,,2,,74,77
2592,note_on,,,,,60,0,8,,,,,,1,,78,77
2606,note_off,,,,,16,0,13,,,,,,6,,73,0
2608,note_off,,,,,304,0,10,,,,,,3,,66,0
2608,note_off,,,,,304,0,11,,,,,,4,,46,0
2608,note_off,,,,,304,0,16,,,,,,7,,46,0
2608,note_off,,,,,2,0,13,,,,,,6,,66,0
2608,note_off,,,,,304,0,12,,,,,,5,,34,0
2608,note_off,,,,,304,0,14,,,,,,6,,46,0
2656,note_off,,,,,64,0,8,,,,,,1,,78,0
2656,note_off,,,,,64,0,9,,,,,,2,,74,0
2688,note_on,,,,,80,0,16,,,,,,7,,46,100
2688,note_on,,,,,32,0,9,,,,,,2,,73,78
2688,note_on,,,,,80,0,12,,,,,,5,,34,78
2688,note_on,,,,,80,0,10,,,,,,3,,66,78
2688,note_on,,,,,32,0,8,,,,,,1,,76,78
2688,note_on,,,,,0,0,13,,,,,,6,,64,100
2688,note_on,,,,,0,0,13,,,,,,6,,73,100
2688,note_on,,,,,80,0,13,,,,,,6,,66,100
2688,note_on,,,,,80,0,14,,,,,,6,,46,100
2688,note_on,,,,,80,0,11,,,,,,4,,46,78
2816,note_off,,,,,0,0,13,,,,,,6,,64,0
2816,note_off,,,,,0,0,13,,,,,,6,,73,0
2816,note_off,,,,,128,0,16,,,,,,7,,46,0
2816,note_off,,,,,128,0,10,,,,,,3,,66,0
2816,note_off,,,,,128,0,12,,,,,,5,,34,0
2816,note_off,,,,,128,0,9,,,,,,2,,73,0
2816,note_off,,,,,128,0,14,,,,,,6,,46,0
2816,note_off,,,,,128,0,11,,,,,,4,,46,0
2816,note_off,,,,,128,0,13,,,,,,6,,66,0
2816,note_off,,,,,128,0,8,,,,,,1,,76,0
2880,note_on,,,,,64,0,10,,,,,,3,,66,79
2880,note_on,,,,,64,0,14,,,,,,6,,46,100
2880,note_on,,,,,64,0,12,,,,,,5,,34,79
2880,note_on,,,,,64,0,11,,,,,,4,,46,79
2880,note_on,,,,,64,0,9,,,,,,2,,73,79
2880,note_on,,,,,64,0,16,,,,,,7,,46,100
2880,note_on,,,,,64,0,13,,,,,,6,,66,100
2880,note_on,,,,,0,0,13,,,,,,6,,64,100
2880,note_on,,,,,0,0,13,,,,,,6,,73,100
2880,note_on,,,,,64,0,8,,,,,,1,,76,79
3184,note_off,,,,,304,0,8,,,,,,1,,76,0
3184,note_off,,,,,304,0,10,,,,,,3,,66,0
3184,note_off,,,,,304,0,12,,,,,,5,,34,0
3184,note_off,,,,,304,0,16,,,,,,7,,46,0
3184,note_off,,,,,304,0,11,,,,,,4,,46,0
3184,note_off,,,,,304,0,14,,,,,,6,,46,0
3184,note_off,,,,,304,0,13,,,,,,6,,66,0
3184,note_off,,,,,0,0,13,,,,,,6,,64,0
3184,note_off,,,,,0,0,13,,,,,,6,,73,0
3184,note_off,,,,,304,0,9,,,,,,2,,73,0
3264,note_on,,,,,80,0,9,,,,,,2,,73,83
3264,note_on,,,,,80,0,13,,,,,,6,,66,100
3264,note_on,,,,,80,0,10,,,,,,3,,66,83
3264,note_on,,,,,80,0,16,,,,,,7,,46,100
3264,note_on,,,,,0,0,13,,,,,,6,,64,100
3264,note_on,,,,,0,0,13,,,,,,6,,73,100
3264,note_on,,,,,80,0,14,,,,,,6,,46,100
3264,note_on,,,,,80,0,12,,,,,,5,,34,83
3264,note_on,,,,,80,0,11,,,,,,4,,46,83
3264,note_on,,,,,80,0,8,,,,,,1,,76,83
3392,note_off,,,,,128,0,11,,,,,,4,,46,0
3392,note_off,,,,,128,0,14,,,,,,6,,46,0
3392,note_off,,,,,0,0,13,,,,,,6,,73,0
3392,note_off,,,,,0,0,13,,,,,,6,,64,0
3392,note_off,,,,,128,0,13,,,,,,6,,66,0
3392,note_off,,,,,128,0,16,,,,,,7,,46,0
3392,note_off,,,,,128,0,12,,,,,,5,,34,0
3392,note_off,,,,,128,0,10,,,,,,3,,66,0
3416,note_off,,,,,152,0,8,,,,,,1,,76,0
3416,note_off,,,,,152,0,9,,,,,,2,,73,0
3456,note_on,,,,,40,0,8,,,,,,1,,78,84
3456,note_on,,,,,64,0,11,,,,,,4,,47,84
3456,note_on,,,,,40,0,9,,,,,,2,,74,84
3456,note_on,,,,,64,0,12,,,,,,5,,35,84
3456,note_on,,,,,64,0,10,,,,,,3,,66,84
3456,note_on,,,,,64,0,16,,,,,,7,,47,100
3456,note_on,,,,,0,0,13,,,,,,6,,73,100
3456,note_on,,,,,64,0,13,,,,,,6,,64,100
3456,note_on,,,,,64,0,14,,,,,,6,,47,100
3500,note_off,,,,,44,0,8,,,,,,1,,78,0
3500,note_off,,,,,44,0,9,,,,,,2,,74,0
3504,note_on,,,,,4,0,9,,,,,,2,,73,85
3504,note_on,,,,,4,0,8,,,,,,1,,76,85
3524,note_off,,,,,20,0,8,,,,,,1,,76,0
3524,note_off,,,,,20,0,9,,,,,,2,,73,0
3528,note_on,,,,,4,0,8,,,,,,1,,78,84
3528,note_on,,,,,4,0,9,,,,,,2,,74,84
3548,note_off,,,,,20,0,9,,,,,,2,,74,0
3548,note_off,,,,,20,0,8,,,,,,1,,78,0
3552,note_on,,,,,4,0,8,,,,,,1,,76,84
3552,note_on,,,,,4,0,9,,,,,,2,,73,84
3572,note_off,,,,,20,0,9,,,,,,2,,73,0
3572,note_off,,,,,20,0,8,,,,,,1,,76,0
3576,note_on,,,,,4,0,9,,,,,,2,,74,84
3576,note_on,,,,,4,0,8,,,,,,1,,78,84
3596,note_off,,,,,20,0,8,,,,,,1,,78,0
3596,note_off,,,,,20,0,9,,,,,,2,,74,0
3600,note_on,,,,,4,0,8,,,,,,1,,76,83
3600,note_on,,,,,4,0,9,,,,,,2,,73,83
3620,note_off,,,,,20,0,8,,,,,,1,,76,0
3620,note_off,,,,,20,0,9,,,,,,2,,73,0
3624,note_on,,,,,4,0,8,,,,,,1,,78,83
3624,note_on,,,,,4,0,9,,,,,,2,,74,83
3644,note_off,,,,,20,0,8,,,,,,1,,78,0
3644,note_off,,,,,20,0,9,,,,,,2,,74,0
3648,note_on,,,,,4,0,8,,,,,,1,,76,83
3648,note_on,,,,,4,0,9,,,,,,2,,73,83
3760,note_off,,,,,304,0,16,,,,,,7,,47,0
3760,note_off,,,,,304,0,14,,,,,,6,,47,0
3760,note_off,,,,,304,0,13,,,,,,6,,64,0
3760,note_off,,,,,0,0,13,,,,,,6,,73,0
3760,note_off,,,,,304,0,10,,,,,,3,,66,0
3760,note_off,,,,,304,0,12,,,,,,5,,35,0
3760,note_off,,,,,304,0,11,,,,,,4,,47,0
3836,note_off,,,,,188,0,9,,,,,,2,,73,0
3836,note_off,,,,,188,0,8,,,,,,1,,76,0
3836,note_off,,,,,1532,0,15,,,,,,7,,64,0
3836,note_off,,,,,0,0,15,,,,,,7,,73,0
3840,note_on,,,,,0,0,13,,,,,,6,,71,100
3840,note_on,,,,,80,0,13,,,,,,6,,62,100
3840,note_on,,,,,80,0,16,,,,,,7,,47,100
3840,note_on,,,,,4,0,15,,,,,,7,,62,100
3840,note_on,,,,,4,0,8,,,,,,1,,74,80
3840,note_on,,,,,80,0,14,,,,,,6,,47,100
3840,note_on,,,,,4,0,9,,,,,,2,,71,80
3840,note_on,,,,,80,0,10,,,,,,3,,66,80
3840,note_on,,,,,0,0,15,,,,,,7,,71,100
3840,note_on,,,,,80,0,11,,,,,,4,,47,80
3840,note_on,,,,,80,0,12,,,,,,5,,35,80
3968,note_off,,,,,128,0,16,,,,,,7,,47,0
3968,note_off,,,,,128,0,9,,,,,,2,,71,0
3968,note_off,,,,,128,0,13,,,,,,6,,62,0
3968,note_off,,,,,0,0,13,,,,,,6,,71,0
3968,note_off,,,,,128,0,8,,,,,,1,,74,0
3968,note_off,,,,,128,0,12,,,,,,5,,35,0
3968,note_off,,,,,128,0,14,,,,,,6,,47,0
3968,note_off,,,,,128,0,15,,,,,,7,,62,0
3968,note_off,,,,,0,0,15,,,,,,7,,71,0
3968,note_off,,,,,128,0,11,,,,,,4,,47,0
